index,elective_1,elective_2,elective_3,elective_4,elective_5
1,Cryptography & Network Security,Web Technology,Privacy & Security in Online Social Media,Blockchain Architecture,Mobile Computing
2,Data Warehousing & Data Mining,Big Data,Soft Computing,Neural Network,Computer Graphics and Animation
3,Software Project Management,Simulation & Modeling,Pattern Recognition,Internet of Things,Natural Language Processing
4,Cloud Computing,Software Testing & Quality Assurance,Data Analytics,Modern Application Development,Machine Learning
5,Compiler Design,Digital Image Processing,Software Quality Engineering,Distributed Database Systems,Quantum Computing
